City,"Oct 31, 2025","Nov 1, 2025","Nov 2, 2025","Nov 3, 2025","Nov 4, 2025","Nov 5, 2025","Nov 6, 2025","Nov 7, 2025","Nov 8, 2025","Nov 9, 2025","Nov 10, 2025","Nov 11, 2025","Nov 12, 2025"
Petco Park,83,101,113,74,53,41,55,126,106,153,128,104,75
Carmel Valley,41,55,57,46,27,23,21,59,52,63,40,51,48
La Jolla Shores,72,93,92,64,38,49,57,113,117,143,85,81,77
Black Mountain - West Side,53,60,66,55,49,31,34,62,63,62,54,55,52
Scripps Ranch,52,56,63,53,43,25,28,62,57,62,52,51,46
USD Athletics,53,59,64,52,34,26,24,63,54,65,48,55,53
SDSU Athletics,54,54,61,52,47,26,26,59,56,65,52,53,50
North Park,72,62,73,56,37,21,27,71,58,72,53,59,54
Mira Mesa,52,56,62,55,36,19,19,64,60,66,46,54,47
San Diego,55,61,66,55,43,29,31,66,60,69,54,57,53
Birchcrest Boulevard (Santee),46,47,58,43,48,29,24,52,53,64,39,40,43
Casa Nova (San Ysidro),33,66,69,42,23,21,49,94,52,55,57,28,53